The electronic configuration of H is ___.,1s<sup>1</s>,1s<sup>2</sup>,1s<sup>2</sup> 2s<sup>1</sup>,1s<sup>2</sup> 2s<sup>2</sup>,1s<sup>2</sup> 2s<sup>2</sup> 2p<sup>1</sup>
What is the element with a ground state eletronic configuration of [He] 2s<sup>2</sup> 2p<sup>3</sup>?,N,O,F,Ne,C
What is the element with a ground state eletronic configuration of [He] 2s<sup>2</sup> 2p<sup>4</sup>?,O,F,Ne,C,N
What is the element with a ground state eletronic configuration of [He] 2s<sup>2</sup> 2p<sup>5</sup>?,F,Ne,C,N,O
What is the element with a ground state eletronic configuration of [He] 2s<sup>2</sup> 2p<sup>6</sup>?,Ne,C,N,O,F
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>1</sup>?,Na,Mg,Al,F,Ne
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>2</sup>?,Mg,Al,F,Ne,Na
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>2</sup> 3p<sup>1</sup>?,Al,F,Ne,Na,Mg
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>2</sup> 3p<sup>2</sup>?,Si,P,S,Cl,Ar
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>2</sup> 3p<sup>3</sup>?,P,S,Cl,Ar,Si
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>2</sup> 3p<sup>4</sup>?,S,Cl,Ar,Si,P
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>2</sup> 3p<sup>5</sup>?,Cl,Ar,Si,P,S
What is the element with a ground state eletronic configuration of [Ne] 3s<sup>2</sup> 3p<sup>6</sup>?,Ar,Si,P,S,Cl
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>1</sup>?,K,Ca,Ar,Si,P
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup>?,Ca,Ar,Si,P,K
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>1</sup>?,Sc,Ti,V,Mn,Cr
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>2</sup>?,Ti,V,Mn,Cr,Sc
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>3</sup>?,V,Mn,Cr,Sc,Ti
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>1</sup> 3d<sup>5</sup>?,Mn,Cr,Sc,Ti,V
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>5</sup>?,Cr,Sc,Ti,V,Mn
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>6</sup>?,Fe,Co,Ni,Cu,Zn
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>7</sup>?,Co,Ni,Cu,Zn,Fe
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>8</sup>?,Ni,Cu,Zn,Fe,Co
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>1</sup> 3d<sup>10</sup>,Cu,Zn,Fe,Co,Ni
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>10</sup>,Zn,Fe,Co,Ni,Cu
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>1</sup>,Ga,Ge,As,Se,Br
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>2</sup>,Ge,As,Se,Br,Kr
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>3</sup>,As,Se,Br,Kr,Ga
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>4</sup>,Se,Br,Kr,Ga,Ge
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>5</sup>,Br,Kr,Ga,Ge,As
What is the element with a ground state eletronic configuration of [Ar] 4s<sup>2</sup> 3d<sup>10</sup> 4p<sup>6</sup>,Kr,Ga,Ge,As,Se
